Issue Type,Summary,Description,Epic Link,Assignee,Reviewer,Blocked By,Labels,Fix Version,Status
Epic,"Day 1 — Stop the bleeding, then decide where it lives","WHAT: Remove the typecheck bypass, merge the two route gates, harden the PIN login, fix the wrong domain. WHY: CLAUDE.md §4 calls ignoreBuildErrors the most dangerous line in the repo, and the auth gaps are a live security defect on a café-counter tablet. DONE WHEN: bun check green with the flag gone; one route gate; loginWithPin rate-limited with a session maxAge. SPEC: 05-the-two-week-plan.md Day 1; CLAUDE.md §4.",,,,,gate;security,Week 1,Done — PR #239
Story,Remove ignoreBuildErrors and fix whatever it hid,WHAT: Delete typescript.ignoreBuildErrors from next.config.ts; run bun typecheck and fix any real errors it surfaces. WHY: CLAUDE.md §4.1 — the production build does not typecheck; CI does not deploy so this is the only real gate. DONE WHEN: bun typecheck clean with the flag gone. SPEC: CLAUDE.md §4.1.,"Day 1 — Stop the bleeding, then decide where it lives",Nikao,Mia,,gate,Week 1,"Done — PR #239 (tsc was already clean, nothing was hiding)"
Story,Merge proxy.ts and src/middleware.ts into one role-checked gate,"WHAT: Resolve the two coexisting route gates into proxy.ts (the one Next 16 actually invokes), keeping the Supabase session refresh and the admin role check. WHY: CLAUDE.md §4.8 — either any barista reaches /admin, or customer sessions expire mid-visit. DONE WHEN: one file; bun check green; /pos root still open unauthenticated; /admin still redirects non-admin roles. SPEC: CLAUDE.md §4.8.","Day 1 — Stop the bleeding, then decide where it lives",Nikao,Mia,,security;gate,Week 1,Done — PR #239
Story,Add session maxAge to the staff PIN login,WHAT: Add an explicit maxAge to the Auth.js JWT session config in auth.ts. WHY: CLAUDE.md §4.10 — NextAuth's 30-day default currently applies to a shared café-counter tablet. DONE WHEN: session expires within the chosen window; a test asserts it. SPEC: CLAUDE.md §4.10.,"Day 1 — Stop the bleeding, then decide where it lives",Nikao,Mia,,security,Week 1,Done — PR #239 (8h chosen; confirm this is the right shift length)
Story,Rate-limit loginWithPin,"WHAT: Wire the existing checkRateLimit helper into loginWithPin, mirroring its use on the customer auth path. WHY: CLAUDE.md §4.9 — no rate limit today; it bcrypt-loops every active staff row per attempt. DONE WHEN: rate-limit test passes, matching the customer-path pattern. SPEC: CLAUDE.md §4.9.","Day 1 — Stop the bleeding, then decide where it lives",Nikao,Mia,,security,Week 1,Done — PR #239
Story,Fix favo.hofmi.org to favo.hofmi.net in layout.tsx and the Discord webhook,WHAT: Replace the wrong domain in the metadata base URL (layout.tsx) and the footer text (discord/webhook.ts). WHY: favo.hofmi.org never existed; favo.hofmi.net is the real Cloudflare-for-SaaS target per CLAUDE.md §9. DONE WHEN: grep for favo.hofmi.org in these two files returns zero. SPEC: CLAUDE.md project facts §9.,"Day 1 — Stop the bleeding, then decide where it lives",Mia,,,docs,Week 1,Done — PR #239
Story,Sweep remaining favo.hofmi.org occurrences,"WHAT: Fix the domain in infra/grafana dashboards, infra/sentinel/alerts.yml, infra/coolify/favo-app.yml, tests/unit/lib/customer-sw.test.ts, tests/e2e/prod-smoke.spec.ts, scripts/ship-ping.ts. WHY: left out of the first domain fix deliberately to keep that PR scoped; still needs doing before go-live. DONE WHEN: repo-wide grep -ri favo.hofmi.org returns zero outside docs/archive. SPEC: CLAUDE.md; 00-overview-and-roadmap.md §1.5/§13.6.","Day 1 — Stop the bleeding, then decide where it lives",Mia,,,docs;removal,Week 1,To Do
Story,Chase Matt on the Transformate terms (OPEN-08),WHAT: Get Matt's answer to question 4 — who is contractually on the hook if the server dies at 08:00 on a Sunday. WHY: gate zero for go-live; the RTO/RPO promises in §9.4 have no contractually responsible party until this is answered. DONE WHEN: Matt's answer is recorded and OPEN-08 is closed. SPEC: CLAUDE.md §9 project facts; 05-the-two-week-plan.md §8.,"Day 1 — Stop the bleeding, then decide where it lives",Nikao,Mia informed,,vendor;waiting-on-someone-else;gate,Week 1,To Do — started Day 1 per the plan
Epic,Day 2 — Build the deploy path,"WHAT: Produce an actual deployable artefact and an honest healthcheck. WHY: no Dockerfile, no standalone output, no scheduler, no migration step exist anywhere in the tree today. DONE WHEN: the app can be built into a container and healthz tells the truth; actual deployment stays blocked on OPEN-08. SPEC: 05-the-two-week-plan.md Day 2; CLAUDE.md §9.",,,,,setup,Week 1,Partial — PR #240
Story,Write the Dockerfile and enable output standalone,"WHAT: Multi-stage Dockerfile (bun) producing the next.config.ts output:standalone server, plus .dockerignore. WHY: no Dockerfile anywhere in the tree; §9's deploy target needs a container to build. DONE WHEN: docker build . succeeds and the image serves /api/healthz 200. SPEC: CLAUDE.md §9; 05-the-two-week-plan.md Day 2.",Day 2 — Build the deploy path,Nikao,Mia,,setup,Week 1,Done — PR #240 (not build-tested; no docker in the authoring environment — smoke-test before relying on it)
Story,CI workflow to build and push the image to GHCR,WHAT: GitHub Actions workflow building the Docker image and pushing to ghcr.io/heritage-of-faith/favo-webapp on push to main. WHY: infra/coolify/favo-app.yml already expects this image to exist; nothing builds it today. DONE WHEN: workflow runs green on a push to main and a tag appears in GHCR. SPEC: 05-the-two-week-plan.md Day 2.,Day 2 — Build the deploy path,Nikao,,,setup,Week 1,Done — PR #240 (not yet exercised — PR unmerged)
Story,Fix the healthcheck so a Yoco blip can't restart-loop a working café,"WHAT: Make Yoco reachability advisory (reported, not gated) in /api/healthz; Postgres still gates health; Loki was already advisory. WHY: CLAUDE.md §4.19 — the healthcheck ANDs Yoco into the verdict today. DONE WHEN: /api/healthz returns 200 with Postgres up and Yoco down. SPEC: CLAUDE.md §4.19.",Day 2 — Build the deploy path,Nikao,,,gate,Week 1,Done — PR #240
Story,Remove db/index.ts's prepare:false and collapse the two database URLs,"WHAT: Remove the PgBouncer prepare:false workaround and collapse DATABASE_URL / DATABASE_URL_SESSION into one direct connection. WHY: only correct once Postgres is co-located on the same host as the app (§9's Transformate shape) — doing it earlier breaks every query (CLAUDE.md §3 trap list). DONE WHEN: done in the same change that switches to the real Transformate connection, not before or after. SPEC: CLAUDE.md §3; 05-the-two-week-plan.md Day 2.",Day 2 — Build the deploy path,Nikao,Mia,Chase Matt on the Transformate terms (OPEN-08),database;waiting-on-someone-else,Week 1,"Blocked — deliberately deferred, not started"
Story,Wire a real scheduler for the four cron routes,"WHAT: Actually call checkLowStock, closeDaily, generate-weekly-pnl and the collected-sweep job on a schedule. WHY: CLAUDE.md §4.17 — no scheduler of any kind exists; four routes wait for a caller that doesn't exist. DONE WHEN: jobs fire on schedule with catch-up and audit rules (job-specific behaviour in the Day 11 epic). SPEC: CLAUDE.md §4.17; 05-the-two-week-plan.md Day 2 and Day 11.",Day 2 — Build the deploy path,Nikao,Mia,,gate,Week 1,"To Do — creating a scheduled job is a stop-and-ask item (CLAUDE.md §2.3), needs explicit sign-off before building"
Story,Add a production migration step and a DATABASE_URL_SESSION startup check,"WHAT: Add a migration-run step to the release process; fail fast at startup if DATABASE_URL_SESSION is unset. WHY: without it SSE silently degrades to heartbeats and the container still reports healthy. DONE WHEN: deploy fails loudly, not silently, on a missing session URL; migrations run automatically on release. SPEC: 05-the-two-week-plan.md Day 2; CLAUDE.md §9.",Day 2 — Build the deploy path,Nikao,,Chase Matt on the Transformate terms (OPEN-08),setup;gate,Week 1,To Do
Epic,Day 3-4 — The deletion pass,"WHAT: Delete every v7-forbidden feature still live in a codebase built to PRD v3 — loyalty, packs, refunds app-code, Discord, sync_conflicts, retry-deferred, pending_charges, magic_link_tokens. WHY: CLAUDE.md §7 names all of these as standing prohibitions; each is real, shipped code today, not a stub. DONE WHEN: all completion greps return zero, typecheck clean, test count lands in the 740-760 band, outbox_log.client_uuid UNIQUE survives. SPEC: 05-the-two-week-plan.md Day 3-4; CLAUDE.md §3, §7.",,,,,removal;gate,Week 1,"Done — PR #241 (refunds migration carved out, see below)"
Story,Delete loyalty — points earn and redemption,"WHAT: Remove src/server/actions/loyalty.ts's loyalty half, loyalty UI components, and all loyalty_transactions usage. WHY: CLAUDE.md §7 — deleted by v7, no exceptions. DONE WHEN: the loyalty verify-v7.ts gate reports ok. SPEC: CLAUDE.md §7; 05-the-two-week-plan.md Day 3-4.",Day 3-4 — The deletion pass,Mia,Nikao,,removal,Week 1,Done — PR #241
Story,Delete coffee packs and pending_charges,"WHAT: Remove purchasePack, pack UI, coffeePacks table usage, pendingCharges table usage. WHY: CLAUDE.md §7 — deleted by v7. DONE WHEN: the packs and pending_charges verify-v7.ts gates report ok. SPEC: CLAUDE.md §7.",Day 3-4 — The deletion pass,Mia,Nikao,,removal,Week 1,Done — PR #241
Story,Delete refunds — application code only,"WHAT: Remove the live createRefund (yoco/client.ts), the webhook's refund.succeeded branch, and canApproveRefund (rbac.ts). WHY: CLAUDE.md §4.7/§7 — L02 means no refunds, ever; this is live code today, not a stub. DONE WHEN: the app-code half of the refunds verify-v7.ts gate is clean. SPEC: CLAUDE.md §4.7, §7.",Day 3-4 — The deletion pass,Mia,Nikao,,removal;money,Week 1,Done — PR #241
Story,Refunds migration — drop refunds table and remove 'refunded' from payment_status,"WHAT: Drop the refunds table and the refundStatus enum; remove 'refunded' from payments.status. WHY: completes the refunds removal at the database level. DONE WHEN: written, reviewed by both Mia and Nikao, migration tested up and down. SPEC: CLAUDE.md §2 stop-and-ask rule 2 (any migration touching payments/orders/order_items).",Day 3-4 — The deletion pass,Nikao,Mia,Delete refunds — application code only,money;database,Week 1,"Blocked — deliberately not written; touches payments, needs two-reviewer sign-off per CLAUDE.md §2 before it's even drafted"
Story,Delete Discord and rehome formatZarField/pnlColor,"WHAT: Delete the #favo-ops Discord integration entirely; move formatZarField and pnlColor (used elsewhere for non-Discord formatting) into src/lib/format.ts first and update every importer. WHY: CLAUDE.md §7 — Discord goes, but the two formatting helpers are used outside Discord. DONE WHEN: the Discord verify-v7.ts gate reports ok; every importer of the two functions still compiles. SPEC: CLAUDE.md §7; 05-the-two-week-plan.md Day 3-4.",Day 3-4 — The deletion pass,Mia,Nikao,,removal,Week 1,Done — PR #241
Story,Replace the close-daily Discord variance alert with Web Push before deleting Discord,"WHAT: close-daily.ts's L09 stock-variance alert currently pages Discord as its only channel; replace it with a Web Push alert to admin staff devices, reusing the existing push infrastructure (checkLowStock's pattern). WHY: deleting Discord without this first makes the alert vanish silently (the ordering hazard CLAUDE.md and the build plan both name explicitly). DONE WHEN: a forced daily-close mismatch on staging alerts an admin device, not Discord. SPEC: 05-the-two-week-plan.md Day 3-4 ordering hazard; 00-overview-and-roadmap.md Phase 6.",Day 3-4 — The deletion pass,Mia,Nikao,,alerts;removal,Week 1,"Done — PR #241 (test updated in the same commit, noted as such per CLAUDE.md §6)"
Story,Delete sync_conflicts and its resolution surface,"WHAT: Remove src/server/actions/sync-conflicts.ts, the admin resolution surface, and outbox_log.conflict_id, while keeping the offline outbox itself intact. WHY: CLAUDE.md §7 — the offline outbox stays, the reconciliation layer goes; a one-tablet café can't have a sync conflict between devices. DONE WHEN: the sync_conflicts verify-v7.ts gate reports ok; outbox_log.client_uuid UNIQUE still present. SPEC: CLAUDE.md §7; 05-the-two-week-plan.md Day 3-4.",Day 3-4 — The deletion pass,Mia,Nikao,,removal,Week 1,Done — PR #241
Story,Delete retry-deferred (both files),WHAT: Remove src/server/crons/retry-deferred-payments.ts and src/app/api/crons/retry-deferred/route.ts together. WHY: CLAUDE.md §3 trap list — it's two files; removing only the first leaves a route importing nothing. DONE WHEN: the retry-deferred verify-v7.ts gate reports ok. SPEC: CLAUDE.md §3.,Day 3-4 — The deletion pass,Mia,Nikao,,removal,Week 1,Done — PR #241
Story,Delete the dead magic_link_tokens table,WHAT: Remove the magicLinkTokens schema definition and write a migration to drop the table. WHY: nothing else references it; it's dead. DONE WHEN: the magic_link_tokens verify-v7.ts gate reports ok. SPEC: CLAUDE.md; 05-the-two-week-plan.md Day 3-4.,Day 3-4 — The deletion pass,Mia,,,removal;database,Week 1,Done — PR #241
Epic,Day 5 — The substrate migration,"WHAT: One Tier A migration carrying everything the weekday entitlement rows need — customers.status, the re-keyed entitlement table, order_items columns, opening_sessions columns, orders.revenue_day, a config store, and the payments partial unique index. WHY: nothing in Days 6-14 can be built without this schema existing first. DONE WHEN: migration runs up and down on a copy; FIXTURE-A and FIXTURE-B are written by hand and fail for the right reason. SPEC: 05-the-two-week-plan.md Day 5.",,,,,money;database,Week 1,Blocked — not started
Story,Decide the customers.name / surname question,"WHAT: customers has one name column; REQ-142 wants a surname beside the given name and does not add a column. WHY: CLAUDE.md §2.4 lists this by name as an owner decision that sits inside a migration — column, split, or trailing token, somebody decides. DONE WHEN: Mia and Nikao have agreed the approach, written down, before the Day 5 migration is drafted. SPEC: CLAUDE.md §2.4; 05-the-two-week-plan.md Day 6-7.",Day 5 — The substrate migration,Both,Both sign,,gate,Week 1,"To Do — stop-and-ask, not decided by Claude"
Story,Write the Day 5 substrate migration,"WHAT: customers.status enum, re-keyed entitlement table, order_items.shots + discount_zar + comp_reason, opening_sessions.mode + closed_at + one-open-session partial index, orders.revenue_day, a config store, payments' partial unique index on (order_id) WHERE status='successful'. WHY: the schema every Week 2 story needs. DONE WHEN: migration runs up and down on a copy of the database. SPEC: 05-the-two-week-plan.md Day 5.",Day 5 — The substrate migration,Nikao,Mia,Decide the customers.name / surname question,money;database,Week 1,"Blocked — Tier A: both Mia and Nikao named on the PR, one in review at a time, per CLAUDE.md §8"
Story,Write FIXTURE-A and FIXTURE-B by hand,"WHAT: the two synthetic-order fixtures that become the acceptance bar for the COGS rewrite (Day 9-10) and the entitlement work (Day 6-8) — written from the PRD's worked example, not derived from the code. WHY: 'if FIXTURE-A computes R144.36 instead of R144.37 — stop, do not adjust the test' (CLAUDE.md §3). A human writes or checks the acceptance assertion on every money ticket. DONE WHEN: both fixtures exist, asserting the PRD's own numbers, and currently fail for the right reason (the code doesn't do this yet). SPEC: CLAUDE.md §3, §6.",Day 5 — The substrate migration,Mia,Nikao,,money;guesswork,Week 1,To Do
